task,outcome,outcome_column,n,beta,se,p,delta_r2,interaction_term
PRP,PRP RT Fatigue Slope (Q4-Q1),prp_rt_fatigue_slope,201,-64.8161793346975,31.723335930162005,0.0423948160176847,0.0204001708438964,z_ucla_score:C(gender_male)[T.1]
PRP,PRP T1 Mean RT (SOA 300),prp_t1_rt_mean_soa_300,201,69.86340713554294,34.54811859680884,0.0445354498287763,0.0196080358969361,z_ucla_score:C(gender_male)[T.1]
PRP,PRP T1 Mean RT (SOA 150),prp_t1_rt_mean_soa_150,201,64.76358895942317,32.38880907663472,0.0469495821749543,0.0193122130496561,z_ucla_score:C(gender_male)[T.1]
PRP,PRP T1 Median RT (SOA 600),prp_t1_rt_median_soa_600,201,73.57197382501093,36.965511480281855,0.0479707475754554,0.0194063543899243,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Slow Run Max (correct),stroop_slow_run_max_correct,220,-0.9610435220765552,0.4191575006936072,0.0228404906621184,0.0234083592844857,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop RT Fatigue Slope (Q4-Q1),stroop_rt_fatigue_slope,220,41.68256072223894,18.352369801576103,0.0241368796363352,0.0227593429584919,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Post-Error Accuracy,stroop_post_error_accuracy,100,0.0907995971984139,0.0396931870802524,0.0244565680266727,0.0492482574128028,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop IIV Slope,stroop_slope,220,50.4002402614,22.69028104429521,0.0273934548279585,0.0218286337576034,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Recovery Accuracy Lag4,stroop_recovery_acc_lag4,46,0.0412774464769866,0.0182053920824519,0.0291428733181021,0.084086742744932,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Accuracy Fatigue Slope (Q4-Q1),stroop_acc_fatigue_slope,220,-0.0097068692365432,0.0046426169949477,0.0377359457602408,0.0193506176650434,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Ex-Gaussian sigma (Interference),stroop_exg_sigma_interference,219,24.573499631913997,11.86709423017138,0.0396012369212807,0.0198410726210769,z_ucla_score:C(gender_male)[T.1]
STROOP,Stroop Ex-Gaussian mu (Interference),stroop_exg_mu_interference,219,39.10340315967738,19.642025999517585,0.0477928626576767,0.0182155281571662,z_ucla_score:C(gender_male)[T.1]
WCST,WCST Trials per Category 5,wcst_trials_per_category_5,199,-1.4359315958290966,0.612577022702165,0.0201016519582339,0.0267307208606271,z_ucla_score:C(gender_male)[T.1]
WCST,WCST Slow-State Prob Delta (Shift k4),wcst_slow_prob_shift_k4_delta,209,0.0463077801278847,0.0220770062338437,0.0371943646712089,0.0210656338981862,z_ucla_score:C(gender_male)[T.1]
WCST,"WCST WSLS P(stay|win, shape)",wcst_wsls_p_stay_win_shape,208,0.0306442556188071,0.01529160242671,0.0464200647459088,0.0192870817385624,z_ucla_score:C(gender_male)[T.1]
